time,painel_fotovoltaico_tensao,painel_fotovoltaico_corrente,painel_fotovoltaico_potencia,painel_fotovoltaico_temperatura,painel_fotovoltaico_radiacao,painel_fotovoltaico_inclinacao,eletrolisador_tensao,eletrolisador_corrente,eletrolisador_densidade_corrente,eletrolisador_temperatura,eletrolisador_caudal_H2,eletrolisador_caudal_H2O,eletrolisador_pressao,eletrolisador_potencia,tanque_pressao,tanque_volume,tanque_temperatura,celula_combustivel_tensao,celula_combustivel_corrente,celula_combustivel_temperatura,celula_combustivel_caudal_H2,celula_combustivel_caudal_H2O,celula_combustivel_pressao,celula_combustivel_potencia,bateria_tensao,bateria_corrente,bateria_temperatura,bateria_soc,rede_tensao,rede_corrente
111,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.501293527517772,0,20
112,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5013057775865634,0,20
113,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5013180276553547,0,20
114,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5013302777241461,0,20
115,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5013425277929374,0,20
116,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5013547778617288,0,20
117,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5013670279305201,0,20
118,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5013792779993115,0,20
119,48,12.716343324790214,610.3844795899303,21.360383153839855,601.6257310072999,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5013915280681028,0,20
120,48,10.568317368590007,507.27923369232036,21.360383153839855,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5014012396103364,0,20
121,48,10.568317368590007,507.27923369232036,21.360383153839855,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5014138151871783,0,20
